,,,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Lebanon","Data source","Other alcoholic beverages","0.02"
"Lesotho","Data source","All types","2.82"
"Lesotho","Data source","Beer","1.62"
"Lesotho","Data source","Wine","0.09"
"Lesotho","Data source","Spirits","0.30"
"Lesotho","Data source","Other alcoholic beverages","0.81"
"Liberia","Data source","All types","3.55"
"Liberia","Data source","Beer","0.37"
"Liberia","Data source","Wine","0.05"
"Liberia","Data source","Spirits","3.11"
"Liberia","Data source","Other alcoholic beverages","0.02"
"Libya","Data source","All types","0.01"
"Libya","Data source","Beer","0.00"
"Libya","Data source","Wine","0.01"
"Libya","Data source","Spirits","0.00"
"Libya","Data source","Other alcoholic beverages","0"
"Lithuania","Data source","All types","11.49"
"Lithuania","Data source","Beer","4.47"
"Lithuania","Data source","Wine","0.80"
"Lithuania","Data source","Spirits","4.75"
"Lithuania","Data source","Other alcoholic beverages","1.46"
"Luxembourg","Data source","All types","10.94"
"Luxembourg","Data source","Beer","4.03"
"Luxembourg","Data source","Wine","4.70"
"Luxembourg","Data source","Spirits","2.21"
"Luxembourg","Data source","Other alcoholic beverages","0"
"Madagascar","Data source","All types","0.91"
"Madagascar","Data source","Beer","0.50"
"Madagascar","Data source","Wine","0.07"
"Madagascar","Data source","Spirits","0.34"
"Madagascar","Data source","Other alcoholic beverages","0.00"
"Malawi","Data source","All types","2.00"
"Malawi","Data source","Beer","0.17"
"Malawi","Data source","Wine","0.02"
"Malawi","Data source","Spirits","0.19"
"Malawi","Data source","Other alcoholic beverages","1.61"
"Malaysia","Data source","All types","0.58"
"Malaysia","Data source","Beer","0.43"
"Malaysia","Data source","Wine","0.04"
"Malaysia","Data source","Spirits","0.10"
"Malaysia","Data source","Other alcoholic beverages","0.01"
"Maldives","Data source","All types","1.11"
"Maldives","Data source","Beer","0.33"
"Maldives","Data source","Wine","0.44"
"Maldives","Data source","Spirits","0.34"
"Maldives","Data source","Other alcoholic beverages","0"
"Mali","Data source","All types","0.59"
"Mali","Data source","Beer","0.10"
"Mali","Data source","Wine","0.01"
"Mali","Data source","Spirits","0"
"Mali","Data source","Other alcoholic beverages","0.48"
"Malta","Data source","All types","7.87"
"Malta","Data source","Beer","2.83"
"Malta","Data source","Wine","2.33"
"Malta","Data source","Spirits","2.31"
"Malta","Data source","Other alcoholic beverages","0.40"
"Mauritania","Data source","All types","0.00"
"Mauritania","Data source","Beer","0"
"Mauritania","Data source","Wine","0.00"
"Mauritania","Data source","Spirits","0"
"Mauritania","Data source","Other alcoholic beverages","0"
"Mauritius","Data source","All types","3.09"
"Mauritius","Data source","Beer","1.88"
"Mauritius","Data source","Wine","0.39"
"Mauritius","Data source","Spirits","0.79"
"Mauritius","Data source","Other alcoholic beverages","0.03"
"Mexico","Data source","All types","4.25"
"Mexico","Data source","Beer","3.72"
"Mexico","Data source","Wine","0.19"
"Mexico","Data source","Spirits","0.19"
"Mexico","Data source","Other alcoholic beverages","0.15"
"Micronesia (Federated States of)","Data source","All types","1.59"
"Micronesia (Federated States of)","Data source","Beer","0.92"
"Micronesia (Federated States of)","Data source","Wine","0.13"
"Micronesia (Federated States of)","Data source","Spirits","0.52"
"Micronesia (Federated States of)","Data source","Other alcoholic beverages","0.01"
"Mongolia","Data source","All types","5.77"
"Mongolia","Data source","Beer","2.25"
"Mongolia","Data source","Wine","1.59"
"Mongolia","Data source","Spirits","1.93"
"Mongolia","Data source","Other alcoholic beverages","0"
"Montenegro","Data source","All types","9.29"
"Montenegro","Data source","Beer","3.45"
"Montenegro","Data source","Wine","2.56"
"Montenegro","Data source","Spirits","3.15"
"Montenegro","Data source","Other alcoholic beverages","0.13"
"Morocco","Data source","All types","0.43"
"Morocco","Data source","Beer","0.17"
"Morocco","Data source","Wine","0.18"
"Morocco","Data source","Spirits","0.08"
"Morocco","Data source","Other alcoholic beverages","0"
"Mozambique","Data source","All types","1.24"
"Mozambique","Data source","Beer","1.00"
"Mozambique","Data source","Wine","0.03"
"Mozambique","Data source","Spirits","0.21"
"Mozambique","Data source","Other alcoholic beverages","0.01"
"Myanmar","Data source","All types","1.78"
"Myanmar","Data source","Beer","0.45"
"Myanmar","Data source","Wine","0.00"
"Myanmar","Data source","Spirits","1.33"
"Myanmar","Data source","Other alcoholic beverages","0.00"
"Namibia","Data source","All types","4.30"
"Namibia","Data source","Beer","1.30"
"Namibia","Data source","Wine","2.05"
"Namibia","Data source","Spirits","0.57"
"Namibia","Data source","Other alcoholic beverages","0.37"
"Nauru","Data source","All types","2.17"
"Nauru","Data source","Beer","0.48"
"Nauru","Data source","Wine","0.08"
"Nauru","Data source","Spirits","1.61"
"Nauru","Data source","Other alcoholic beverages","0"
"Nepal","Data source","All types","0.32"
"Nepal","Data source","Beer","0.22"
"Nepal","Data source","Wine","0.00"
"Nepal","Data source","Spirits","0.10"
"Nepal","Data source","Other alcoholic beverages","0"
"Netherlands","Data source","All types","8.34"
"Netherlands","Data source","Beer","4.00"
"Netherlands","Data source","Wine","2.94"
"Netherlands","Data source","Spirits","1.41"
"Netherlands","Data source","Other alcoholic beverages","0"
"New Zealand","Data source","All types","9.12"
"New Zealand","Data source","Beer","3.39"
"New Zealand","Data source","Wine","2.94"
"New Zealand","Data source","Spirits","1.56"
"New Zealand","Data source","Other alcoholic beverages","1.23"
"Nicaragua","Data source","All types","3.81"
"Nicaragua","Data source","Beer","1.61"
"Nicaragua","Data source","Wine","0.02"
"Nicaragua","Data source","Spirits","2.18"
"Nicaragua","Data source","Other alcoholic beverages","0.00"
"Niger","Data source","All types","0.13"
"Niger","Data source","Beer","0.04"
"Niger","Data source","Wine","0.02"
"Niger","Data source","Spirits","0.07"
"Niger","Data source","Other alcoholic beverages","0.00"
"Nigeria","Data source","All types","7.79"
"Nigeria","Data source","Beer","0.73"
"Nigeria","Data source","Wine","0.04"
"Nigeria","Data source","Spirits","0.06"
"Nigeria","Data source","Other alcoholic beverages","6.96"
"Niue","Data source","All types","9.11"
"Niue","Data source","Beer","4.60"
"Niue","Data source","Wine","2.01"
"Niue","Data source","Spirits","2.50"
"Niue","Data source","Other alcoholic beverages","0"
"Norway","Data source","All types","6.02"
"Norway","Data source","Beer","2.66"
"Norway","Data source","Wine","2.20"
"Norway","Data source","Spirits","0.97"
"Norway","Data source","Other alcoholic beverages","0.19"
"Oman","Data source","All types","0.40"
"Oman","Data source","Beer","0.16"
"Oman","Data source","Wine","0.02"
"Oman","Data source","Spirits","0.21"
"Oman","Data source","Other alcoholic beverages","0.01"
"Pakistan","Data source","All types","0.05"
"Pakistan","Data source","Beer","0.00"
"Pakistan","Data source","Wine","0.00"
"Pakistan","Data source","Spirits","0.04"
"Pakistan","Data source","Other alcoholic beverages","0.00"
"Panama","Data source","All types","6.92"
"Panama","Data source","Beer","5.42"
"Panama","Data source","Wine","0.25"
"Panama","Data source","Spirits","1.24"
"Panama","Data source","Other alcoholic beverages","0.02"
"Papua New Guinea","Data source","All types","0.80"
"Papua New Guinea","Data source","Beer","0.69"
"Papua New Guinea","Data source","Wine","0.06"
"Papua New Guinea","Data source","Spirits","0.05"
"Papua New Guinea","Data source","Other alcoholic beverages","0"
"Paraguay","Data source","All types","6.02"
"Paraguay","Data source","Beer","3.24"
"Paraguay","Data source","Wine","1.10"
"Paraguay","Data source","Spirits","1.60"
"Paraguay","Data source","Other alcoholic beverages","0.07"
"Peru","Data source","All types","5.30"
"Peru","Data source","Beer","3.06"
"Peru","Data source","Wine","0.43"
"Peru","Data source","Spirits","1.80"
"Peru","Data source","Other alcoholic beverages","0.01"
"Philippines","Data source","All types","4.83"
"Philippines","Data source","Beer","1.38"
"Philippines","Data source","Wine","0.04"
"Philippines","Data source","Spirits","3.40"
"Philippines","Data source","Other alcoholic beverages","0.01"
"Poland","Data source","All types","10.62"
"Poland","Data source","Beer","5.90"
"Poland","Data source","Wine","0.85"
"Poland","Data source","Spirits","3.88"
"Poland","Data source","Other alcoholic beverages","0"
"Portugal","Data source","All types","10.37"
"Portugal","Data source","Beer","2.62"
"Portugal","Data source","Wine","6.04"
"Portugal","Data source","Spirits","1.34"
"Portugal","Data source","Other alcoholic beverages","0.37"
"Qatar","Data source","All types","1.02"
"Qatar","Data source","Beer","0.30"
"Qatar","Data source","Wine","0.08"
"Qatar","Data source","Spirits","0.64"
"Qatar","Data source","Other alcoholic beverages","0.01"
"Republic of Korea","Data source","All types","8.65"
"Republic of Korea","Data source","Beer","1.94"
"Republic of Korea","Data source","Wine","0.14"
"Republic of Korea","Data source","Spirits","0.28"
"Republic of Korea","Data source","Other alcoholic beverages","6.30"
"Republic of Moldova","Data source","All types","7.45"
"Republic of Moldova","Data source","Beer","1.51"
"Republic of Moldova","Data source","Wine","3.44"
"Republic of Moldova","Data source","Spirits","2.25"
"Republic of Moldova","Data source","Other alcoholic beverages","0.25"
"North Macedonia","Data source","All types","3.80"
"North Macedonia","Data source","Beer","1.84"
"North Macedonia","Data source","Wine","1.03"
"North Macedonia","Data source","Spirits","0.89"
"North Macedonia","Data source","Other alcoholic beverages","0.04"
"Romania","Data source","All types","10.14"
"Romania","Data source","Beer","5.28"
"Romania","Data source","Wine","3.09"
"Romania","Data source","Spirits","1.77"
"Romania","Data source","Other alcoholic beverages","0"
"Russian Federation","Data source","All types","7.69"
"Russian Federation","Data source","Beer","3.35"
"Russian Federation","Data source","Wine","1.14"
"Russian Federation","Data source","Spirits","3.21"
"Russian Federation","Data source","Other alcoholic beverages","0"
"Rwanda","Data source","All types","6.99"
"Rwanda","Data source","Beer","1.06"
"Rwanda","Data source","Wine","0.01"
"Rwanda","Data source","Spirits","0.04"
"Rwanda","Data source","Other alcoholic beverages","5.88"
"Saint Kitts and Nevis","Data source","All types","8.44"
"Saint Kitts and Nevis","Data source","Beer","3.50"
"Saint Kitts and Nevis","Data source","Wine","0.98"
"Saint Kitts and Nevis","Data source","Spirits","3.76"
"Saint Kitts and Nevis","Data source","Other alcoholic beverages","0.20"
"Saint Lucia","Data source","All types","10.43"
"Saint Lucia","Data source","Beer","3.46"
"Saint Lucia","Data source","Wine","1.26"
"Saint Lucia","Data source","Spirits","5.11"
"Saint Lucia","Data source","Other alcoholic beverages","0.60"
"Saint Vincent and the Grenadines","Data source","All types","8.18"
"Saint Vincent and the Grenadines","Data source","Beer","2.77"
"Saint Vincent and the Grenadines","Data source","Wine","0.63"
"Saint Vincent and the Grenadines","Data source","Spirits","4.56"
"Saint Vincent and the Grenadines","Data source","Other alcoholic beverages","0.22"
"Samoa","Data source","All types","1.97"
"Samoa","Data source","Beer","1.81"
"Samoa","Data source","Wine","0.16"
"Samoa","Data source","Spirits","0"
"Samoa","Data source","Other alcoholic beverages","0"
"Sao Tome and Principe","Data source","All types","3.88"
"Sao Tome and Principe","Data source","Beer","0.96"
"Sao Tome and Principe","Data source","Wine","2.91"
"Sao Tome and Principe","Data source","Spirits","0"
"Sao Tome and Principe","Data source","Other alcoholic beverages","0"
"Saudi Arabia","Data source","All types","0.07"
"Saudi Arabia","Data source","Beer","0"
"Saudi Arabia","Data source","Wine","0.00"
"Saudi Arabia","Data source","Spirits","0.07"
"Saudi Arabia","Data source","Other alcoholic beverages","0.00"
"Senegal","Data source","All types","0.27"
"Senegal","Data source","Beer","0.18"
"Senegal","Data source","Wine","0.07"
"Senegal","Data source","Spirits","0.02"
"Senegal","Data source","Other alcoholic beverages","0.00"
"Serbia","Data source","All types","7.35"
"Serbia","Data source","Beer","3.02"
"Serbia","Data source","Wine","1.72"
"Serbia","Data source","Spirits","2.38"
"Serbia","Data source","Other alcoholic beverages","0.24"
"Seychelles","Data source","All types","20.05"
"Seychelles","Data source","Beer","10.93"
"Seychelles","Data source","Wine","2.05"
"Seychelles","Data source","Spirits","6.73"
"Seychelles","Data source","Other alcoholic beverages","0.34"
"Sierra Leone","Data source","All types","3.43"
"Sierra Leone","Data source","Beer","0.15"
"Sierra Leone","Data source","Wine","0.04"
"Sierra Leone","Data source","Spirits","0"
"Sierra Leone","Data source","Other alcoholic beverages","3.25"
"Singapore","Data source","All types","1.85"
"Singapore","Data source","Beer","1.25"
"Singapore","Data source","Wine","0.30"
"Singapore","Data source","Spirits","0.27"
"Singapore","Data source","Other alcoholic beverages","0.04"
"Slovakia","Data source","All types","10.16"
"Slovakia","Data source","Beer","3.43"
"Slovakia","Data source","Wine","2.13"
"Slovakia","Data source","Spirits","4.14"
"Slovakia","Data source","Other alcoholic beverages","0.47"
"Slovenia","Data source","All types","9.99"
"Slovenia","Data source","Beer","4.66"
"Slovenia","Data source","Wine","4.13"
"Slovenia","Data source","Spirits","1.20"
"Slovenia","Data source","Other alcoholic beverages","0"
"Solomon Islands","Data source","All types","1.25"
"Solomon Islands","Data source","Beer","1.21"
"Solomon Islands","Data source","Wine","0.04"
"Solomon Islands","Data source","Spirits","0"
"Solomon Islands","Data source","Other alcoholic beverages","0"
"Somalia","Data source","All types","0"
"Somalia","Data source","Beer","0"
"Somalia","Data source","Wine","0"
"Somalia","Data source","Spirits","0"
"Somalia","Data source","Other alcoholic beverages","0"
"South Africa","Data source","All types","7.26"
"South Africa","Data source","Beer","3.89"
"South Africa","Data source","Wine","1.36"
"South Africa","Data source","Spirits","1.32"
"South Africa","Data source","Other alcoholic beverages","0.68"
"Spain","Data source","All types","10.43"
"Spain","Data source","Beer","4.64"
"Spain","Data source","Wine","3.34"
"Spain","Data source","Spirits","2.29"
"Spain","Data source","Other alcoholic beverages","0.16"
"Sri Lanka","Data source","All types","2.58"
"Sri Lanka","Data source","Beer","0.22"
"Sri Lanka","Data source","Wine","0.01"
"Sri Lanka","Data source","Spirits","2.32"
"Sri Lanka","Data source","Other alcoholic beverages","0.03"
"Sudan","Data source","All types","0.01"
"Sudan","Data source","Beer","0.00"
"Sudan","Data source","Wine","0"
"Sudan","Data source","Spirits","0.01"
"Sudan","Data source","Other alcoholic beverages","0"
"Suriname","Data source","All types","4.47"
"Suriname","Data source","Beer","1.96"
"Suriname","Data source","Wine","0.09"
"Suriname","Data source","Spirits","2.29"
"Suriname","Data source","Other alcoholic beverages","0.13"
"Sweden","Data source","All types","7.20"
"Sweden","Data source","Beer","2.69"
"Sweden","Data source","Wine","3.38"
"Sweden","Data source","Spirits","1.00"
"Sweden","Data source","Other alcoholic beverages","0.13"
"Switzerland","Data source","All types","9.51"
"Switzerland","Data source","Beer","3.17"
"Switzerland","Data source","Wine","4.23"
"Switzerland","Data source","Spirits","1.65"
"Switzerland","Data source","Other alcoholic beverages","0.12"
"Syrian Arab Republic","Data source","All types","0.16"
"Syrian Arab Republic","Data source","Beer","0.02"
"Syrian Arab Republic","Data source","Wine","0.00"
"Syrian Arab Republic","Data source","Spirits","0.13"
"Syrian Arab Republic","Data source","Other alcoholic beverages","0.00"
"Tajikistan","Data source","All types","0.84"
"Tajikistan","Data source","Beer","0.38"
"Tajikistan","Data source","Wine","0.01"
"Tajikistan","Data source","Spirits","0.45"
"Tajikistan","Data source","Other alcoholic beverages","0.00"
"Thailand","Data source","All types","6.57"
"Thailand","Data source","Beer","1.86"
"Thailand","Data source","Wine","0.18"
"Thailand","Data source","Spirits","4.53"
"Thailand","Data source","Other alcoholic beverages","6.57"
"Timor-Leste","Data source","All types","0.48"
"Timor-Leste","Data source","Beer","0.38"
"Timor-Leste","Data source","Wine","0.10"
"Timor-Leste","Data source","Spirits","0"
"Timor-Leste","Data source","Other alcoholic beverages","0"
"Togo","Data source","All types","1.31"
"Togo","Data source","Beer","0.73"
"Togo","Data source","Wine","0.07"
"Togo","Data source","Spirits","0.20"
"Togo","Data source","Other alcoholic beverages","0.32"
"Tonga","Data source","All types","0.33"
"Tonga","Data source","Beer","0.03"
"Tonga","Data source","Wine","0.20"
"Tonga","Data source","Spirits","0.10"
"Tonga","Data source","Other alcoholic beverages","0"
"Trinidad and Tobago","Data source","All types","5.91"
"Trinidad and Tobago","Data source","Beer","2.97"
"Trinidad and Tobago","Data source","Wine","0.29"
"Trinidad and Tobago","Data source","Spirits","2.55"
"Trinidad and Tobago","Data source","Other alcoholic beverages","0.09"
"Tunisia","Data source","All types","1.60"
"Tunisia","Data source","Beer","1.00"
"Tunisia","Data source","Wine","0.38"
"Tunisia","Data source","Spirits","0.19"
"Tunisia","Data source","Other alcoholic beverages","0.02"
"Turkey","Data source","All types","1.43"
"Turkey","Data source","Beer","0.82"
"Turkey","Data source","Wine","0.17"
"Turkey","Data source","Spirits","0.44"
"Turkey","Data source","Other alcoholic beverages","0"
"Turkmenistan","Data source","All types","3.08"
"Turkmenistan","Data source","Beer","0.72"
"Turkmenistan","Data source","Wine","1.33"
"Turkmenistan","Data source","Spirits","1.03"
"Turkmenistan","Data source","Other alcoholic beverages","0.00"
"Tuvalu","Data source","All types","0.90"
"Tuvalu","Data source","Beer","0.01"
"Tuvalu","Data source","Wine","0.66"
"Tuvalu","Data source","Spirits","0.23"
"Tuvalu","Data source","Other alcoholic beverages","0"
"Uganda","Data source","All types","12.20"
"Uganda","Data source","Beer","0.84"
"Uganda","Data source","Wine","0.01"
"Uganda","Data source","Spirits","0.61"
"Uganda","Data source","Other alcoholic beverages","10.73"
"Ukraine","Data source","All types","5.15"
"Ukraine","Data source","Beer","2.44"
"Ukraine","Data source","Wine","0.31"
"Ukraine","Data source","Spirits","2.65"
"Ukraine","Data source","Other alcoholic beverages","0.05"
"United Arab Emirates","Data source","All types","2.12"
"United Arab Emirates","Data source","Beer","0.22"
"United Arab Emirates","Data source","Wine","0.15"
"United Arab Emirates","Data source","Spirits","1.73"
"United Arab Emirates","Data source","Other alcoholic beverages","0.02"
"United Kingdom of Great Britain and Northern Ireland","Data source","All types","10.01"
"United Kingdom of Great Britain and Northern Ireland","Data source","Beer","3.57"
"United Kingdom of Great Britain and Northern Ireland","Data source","Wine","3.44"
"United Kingdom of Great Britain and Northern Ireland","Data source","Spirits","2.39"
"United Kingdom of Great Britain and Northern Ireland","Data source","Other alcoholic beverages","0.61"
"United Republic of Tanzania","Data source","All types","7.31"
"United Republic of Tanzania","Data source","Beer","0.73"
"United Republic of Tanzania","Data source","Wine","0.01"
"United Republic of Tanzania","Data source","Spirits","0.21"
"United Republic of Tanzania","Data source","Other alcoholic beverages","6.37"
"United States of America","Data source","All types","8.82"
"United States of America","Data source","Beer","4.01"
"United States of America","Data source","Wine","1.63"
"United States of America","Data source","Spirits","3.18"
"United States of America","Data source","Other alcoholic beverages","0"
"Uruguay","Data source","All types","6.20"
"Uruguay","Data source","Beer","1.97"
"Uruguay","Data source","Wine","3.50"
"Uruguay","Data source","Spirits","0.73"
"Uruguay","Data source","Other alcoholic beverages","0"
"Uzbekistan","Data source","All types","1.57"
"Uzbekistan","Data source","Beer","0.55"
"Uzbekistan","Data source","Wine","0.14"
"Uzbekistan","Data source","Spirits","0.88"
"Uzbekistan","Data source","Other alcoholic beverages","0.00"
"Vanuatu","Data source","All types","1.57"
"Vanuatu","Data source","Beer","0.34"
"Vanuatu","Data source","Wine","0.30"
"Vanuatu","Data source","Spirits","0.92"
"Vanuatu","Data source","Other alcoholic beverages","0"
"Venezuela (Bolivarian Republic of)","Data source","All types","2.84"
"Venezuela (Bolivarian Republic of)","Data source","Beer","1.86"
"Venezuela (Bolivarian Republic of)","Data source","Wine","0.10"
"Venezuela (Bolivarian Republic of)","Data source","Spirits","0.84"
"Venezuela (Bolivarian Republic of)","Data source","Other alcoholic beverages","0.04"
"Viet Nam","Data source","All types","3.22"
"Viet Nam","Data source","Beer","2.96"
"Viet Nam","Data source","Wine","0.03"
"Viet Nam","Data source","Spirits","0.23"
"Viet Nam","Data source","Other alcoholic beverages","0.00"
"Yemen","Data source","All types","0.03"
"Yemen","Data source","Beer","0.03"
"Yemen","Data source","Wine","0"
"Yemen","Data source","Spirits","0.00"
"Yemen","Data source","Other alcoholic beverages","0"
"Zambia","Data source","All types","3.95"
"Zambia","Data source","Beer","1.15"
"Zambia","Data source","Wine","0.08"
"Zambia","Data source","Spirits","0.62"
"Zambia","Data source","Other alcoholic beverages","2.10"
"Zimbabwe","Data source","All types","3.46"
"Zimbabwe","Data source","Beer","1.93"
"Zimbabwe","Data source","Wine","0.04"
"Zimbabwe","Data source","Spirits","0.27"
"Zimbabwe","Data source","Other alcoholic beverages","1.22"
